id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,oWCnNk,https://acme.dev/harbor/canyon/1,Campaign page harvest,True,2025-07-17 14:30:38,2025-11-13 19:40:36
2,317,80vccv,https://acme.dev/mellow/beacon/2,Campaign page valley,True,2025-02-23 16:48:29,2025-02-27 18:09:37
3,98,Y9H3Yd,https://relay.cloud/forest/network/3,Incident notes meadow,True,2025-11-06 18:36:49,2026-01-31 23:00:40
4,380,4wJXNx,https://seeded.app/quiet/kernel/4,Alert feed canyon,True,2026-01-20 03:07:05,2026-02-16 19:37:22
5,36,dI6jKX,https://hackstack.io/tidy/journey/5,Service guide journey,True,2025-03-15 02:11:10,2026-01-14 13:47:37
6,380,vvTnFN,https://opswise.net/silver/garden/6,Incident notes window,True,2025-09-02 08:20:32,2025-10-08 20:40:29
7,27,KypR29,https://hackstack.io/quiet/window/7,Demo link signal,True,2025-06-27 18:04:43,2026-01-22 07:11:29
8,334,LklWnZ,https://hackstack.io/navy/lagoon/8,Campaign page anchor,True,2025-07-10 01:03:59,2026-01-24 15:53:10
9,29,FrJAme,https://relay.cloud/jade/delta/9,Quarterly brief harvest,True,2025-03-26 15:22:03,2025-04-15 08:46:47
10,236,tjNtGj,https://hackstack.io/opal/valley/10,Launch deck canyon,True,2025-11-26 05:29:22,2026-01-25 02:56:36
11,186,sEiGeY,https://example.com/young/journey/11,Roadmap update lagoon,True,2025-09-27 22:28:28,2025-11-13 13:20:32
12,279,ZTvNgv,https://relay.cloud/young/delta/12,Campaign page network,True,2025-06-26 03:22:06,2025-12-19 10:35:42
13,178,FQ6ULX,https://hackstack.io/mellow/harvest/13,Roadmap update network,True,2025-06-23 13:09:56,2025-08-27 05:17:37
14,34,eUFliQ,https://seeded.app/dawn/garden/14,Incident notes window,True,2025-08-18 02:00:40,2025-09-28 03:14:19
15,251,aAv4iB,https://opswise.net/opal/lagoon/15,Ops review engine,False,2025-09-20 16:13:41,2025-11-14 06:38:23
